study_id,n_pairs,n_participants,c
Aarrestad 2016,65.0,65.0,1.0
Baulig 2007,273.0,18.0,15.166666666666666
Baulig 2015,233.0,50.0,4.66
Bendjelid 2005,417.0,55.0,7.581818181818182
Berkenbosch 2001,82.0,25.0,3.28
Berkenbosch 2002,100.0,14.0,7.142857142857143
Berlowitz 2011,72.0,6.0,12.0
Bernet 2008,82.0,20.0,4.1
Bernet-Buettiker 2005,30.0,30.0,1.0
Bobbia 2015,104.0,90.0,1.1555555555555554
Bolliger 2007 (TOSCA - operating theatre),112.0,112.0,1.0
Carter 2001,79.0,46.0,1.7173913043478262
Chakravarthy 2010,212.0,32.0,6.625
Chhajed 2010,270.0,270.0,1.0
Chhajed 2012,50.0,40.0,1.25
Cox 2006 (two-lung),19.0,15.0,1.2666666666666666
Cuvelier 2005,48.0,12.0,4.0
Delerme 2012,50.0,48.0,1.0416666666666667
DeOliveiraJr 2010,40.0,40.0,1.0
Dion 2015,63.0,25.0,2.52
Domingo 2006,130.0,130.0,1.0
Dullenkopf 2003,111.0,60.0,1.85
Ekkerkamp 2015,100.0,100.0,1.0
Fanelli 2008,56.0,13.0,4.3076923076923075
FerníçndezdeMiguel 2010,106.0,12.0,8.833333333333334
Fuke 2009,62.0,9.0,6.888888888888889
Gancel 2011,29.0,21.0,1.380952380952381
Griffin 2003,30.0,30.0,1.0
Hazenberg 2011,15.0,15.0,1.0
Henao-Brasseur 2016,37.0,37.0,1.0
Herrejí_n 2006,30.0,30.0,1.0
Heuss 2004,50.0,33.0,1.5151515151515151
Hinkelbein 2008,170.0,34.0,5.0
Hirabayashi 2009 (non-ventilated),24.0,24.0,1.0
Hirabayashi 2009 (ventilated),60.0,15.0,4.0
Hirata 2014 (temperature randed 38-42),252.0,48.0,5.25
Janssens 2005,40.0,40.0,1.0
Janssens 2001,28.0,28.0,1.0
Johnson 2008,48.0,38.0,1.263157894736842
Kelly 2011,46.0,46.0,1.0
Kim 2014 (normotensive),48.0,28.0,1.7142857142857142
Kim 2014 (hypotensive),46.0,26.0,1.7692307692307692
Lermuzeaux 2016,100.0,25.0,4.0
Liu 2014,84.0,21.0,4.0
Maniscalco 2008,55.0,35.0,1.5714285714285714
McBride 2002,57.0,30.0,1.9
McVicar 2009,51.0,51.0,1.0
Mukhopadhyay 2016,774.0,52.0,14.884615384615383
Nicolini 2011,80.0,80.0,1.0
Nishiyama 2006 (chest),60.0,15.0,4.0
Nishiyama 2011 (chest),40.0,10.0,4.0
Oshibuchi 2003 (two lung ventilation),26.0,26.0,1.0
Parker 2007,48.0,48.0,1.0
Perrin 2011,24.0,24.0,1.0
Piquilloud 2013,20.0,20.0,1.0
Peschanski 2016,64.0,64.0,1.0
Rodriguez 2006,168.0,50.0,3.36
Roediger 2011 (ear),296.0,20.0,14.8
Rosier 2014,82.0,25.0,3.28
Ruiz 2016,81.0,81.0,1.0
Sandberg 2011,60.0,46.0,1.3043478260869563
SchafrothTí_rí_k 2008,19.0,19.0,1.0
Senn 2005,80.0,18.0,4.444444444444445
Simon 2003 (steady state),135.0,15.0,9.0
Stege 2009,101.0,12.0,8.416666666666666
Storre 2007,250.0,10.0,25.0
Tingay 2005,21.0,21.0,1.0
Tobias 2003 (two lung ventilation),15.0,15.0,1.0
Tonelli 2015,29.0,29.0,1.0
Tschupp 2003,40.0,20.0,2.0
Urbano 2010,62.0,41.0,1.5121951219512195
vanOppen 2015,34.0,10.0,3.4
Vivien 2006,80.0,20.0,4.0
Xue 2010,48.0,16.0,3.0
Zhang 2015 (two lung ventilation),18.0,18.0,1.0
