group,paco2_bin,count,weight
all,3.0,1,5.058220113506459e-06
all,4.0,3,1.5174660340519379e-05
all,5.0,2,1.0116440227012919e-05
all,6.0,4,2.0232880454025837e-05
all,7.0,13,6.575686147558397e-05
all,8.0,23,0.00011633906261064857
all,9.0,36,0.00018209592408623254
all,10.0,42,0.0002124452447672713
all,11.0,67,0.00033890074760493276
all,12.0,88,0.00044512336998856844
all,13.0,111,0.000561462432599217
all,14.0,141,0.0007132090360044107
all,15.0,139,0.0007030925957773979
all,16.0,266,0.0013454865501927181
all,17.0,306,0.0015478153547329766
all,18.0,412,0.002083986686764661
all,19.0,456,0.0023065483717589455
all,20.0,830,0.004198322694210361
all,21.0,737,0.0037279082236542607
all,22.0,1124,0.00568543940758126
all,23.0,1175,0.00594340863337009
all,24.0,1683,0.008512984451031371
all,25.0,1851,0.009362765430100456
all,26.0,2509,0.012691074264787706
all,27.0,2610,0.01320195449625186
all,28.0,3546,0.017936448522493906
all,29.0,3573,0.01807302046555858
all,30.0,4677,0.02365729547086971
all,31.0,4560,0.023065483717589454
all,32.0,6319,0.03196289289724732
all,33.0,6341,0.03207417373974446
all,34.0,7970,0.040314014304646484
all,35.0,7683,0.038862305132070125
all,36.0,9259,0.046834060030956304
all,37.0,8680,0.043905350585236064
all,38.0,9879,0.04997015650133031
all,39.0,8986,0.045453165939969044
all,40.0,9413,0.0476130259284363
all,41.0,8309,0.04202875092312517
all,42.0,8510,0.04304545316593997
all,43.0,7153,0.0361814484719117
all,44.0,7153,0.0361814484719117
all,45.0,5820,0.029438841060607592
all,46.0,5784,0.02925674513652136
all,47.0,4569,0.023111007698611012
all,48.0,4590,0.02321723032099465
all,49.0,3540,0.017906099201812867
all,50.0,3477,0.01758743133466196
all,51.0,2727,0.013793766249532114
all,52.0,2689,0.01360155388521887
all,53.0,2219,0.011224190431870833
all,54.0,2082,0.010531214276320448
all,55.0,1665,0.008421936488988254
all,56.0,1625,0.008219607684447997
all,57.0,1284,0.006494754625742294
all,58.0,1282,0.006484638185515281
all,59.0,1123,0.005680381187467754
all,60.0,1086,0.005493227043268015
all,61.0,939,0.004749668686582565
all,62.0,939,0.004749668686582565
all,63.0,778,0.003935295248308025
all,64.0,759,0.0038391890661514027
all,65.0,624,0.0031563293508280305
all,66.0,652,0.0032979595140062113
all,67.0,547,0.0027668464020880333
all,68.0,601,0.003039990288217382
all,69.0,505,0.002554401157320762
all,70.0,500,0.0025291100567532295
all,71.0,435,0.00220032574937531
all,72.0,441,0.0022306750700563484
all,73.0,388,0.001962589404040506
all,74.0,362,0.0018310756810893383
all,75.0,345,0.0017450859391597285
all,76.0,320,0.001618630436322067
all,77.0,318,0.001608513996095054
all,78.0,277,0.0014011269714412893
all,79.0,264,0.0013353701099657052
all,80.0,269,0.0013606612105332375
all,81.0,240,0.0012139728272415502
all,82.0,229,0.0011583324059929792
all,83.0,234,0.0011836235065605114
all,84.0,223,0.0011279830853119404
