group,bin_center,count,weight,density,true_threshold,borderline_lower,borderline_upper
pft,11.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,15.0,2,0.00019127773527161438,0.00019127773527161438,45.0,40.0,50.0
pft,16.0,1,9.563886763580719e-05,9.563886763580719e-05,45.0,40.0,50.0
pft,17.0,4,0.00038255547054322876,0.00038255547054322876,45.0,40.0,50.0
pft,18.0,3,0.0002869166029074216,0.0002869166029074216,45.0,40.0,50.0
pft,19.0,4,0.00038255547054322876,0.00038255547054322876,45.0,40.0,50.0
pft,20.0,24,0.0022953328232593728,0.0022953328232593728,45.0,40.0,50.0
pft,21.0,19,0.0018171384850803366,0.0018171384850803366,45.0,40.0,50.0
pft,22.0,27,0.002582249426166794,0.002582249426166794,45.0,40.0,50.0
pft,23.0,28,0.0026778882938026014,0.0026778882938026014,45.0,40.0,50.0
pft,24.0,44,0.004208110175975516,0.004208110175975516,45.0,40.0,50.0
pft,25.0,74,0.007077276205049732,0.007077276205049732,45.0,40.0,50.0
pft,26.0,71,0.006790359602142311,0.006790359602142311,45.0,40.0,50.0
pft,27.0,82,0.00784238714613619,0.00784238714613619,45.0,40.0,50.0
pft,28.0,127,0.012146136189747513,0.012146136189747513,45.0,40.0,50.0
pft,29.0,150,0.014345830145371078,0.014345830145371078,45.0,40.0,50.0
pft,30.0,208,0.019892884468247895,0.019892884468247895,45.0,40.0,50.0
pft,31.0,227,0.02171002295332823,0.02171002295332823,45.0,40.0,50.0
pft,32.0,314,0.03003060443764346,0.03003060443764346,45.0,40.0,50.0
pft,33.0,322,0.030795715378729917,0.030795715378729917,45.0,40.0,50.0
pft,34.0,422,0.04035960214231064,0.04035960214231064,45.0,40.0,50.0
pft,35.0,433,0.04141162968630451,0.04141162968630451,45.0,40.0,50.0
pft,36.0,569,0.05441851568477429,0.05441851568477429,45.0,40.0,50.0
pft,37.0,540,0.051644988523335884,0.051644988523335884,45.0,40.0,50.0
pft,38.0,639,0.0611132364192808,0.0611132364192808,45.0,40.0,50.0
pft,39.0,577,0.05518362662586075,0.05518362662586075,45.0,40.0,50.0
pft,40.0,643,0.06149579188982402,0.06149579188982402,45.0,40.0,50.0
pft,41.0,540,0.051644988523335884,0.051644988523335884,45.0,40.0,50.0
